Country,Dimension,Factor,Indicator,Indicator_Name,Year,Nivel_de_madurez_texto_EN
Saint Vincent and the Grenadines,Technologies,Adherence to Standards,Software development,Adherence to Standards: Software development,2015,Startup
Saint Lucia,Technologies,Adherence to Standards,Software development,Adherence to Standards: Software development,2015,Startup
Suriname,Technologies,Adherence to Standards,Software development,Adherence to Standards: Software development,2015,Startup
Trinidad and Tobago,Technologies,Adherence to Standards,Software development,Adherence to Standards: Software development,2015,Startup
Uruguay,Technologies,Adherence to Standards,Software development,Adherence to Standards: Software development,2015,Formative
Venezuela,Technologies,Adherence to Standards,Software development,Adherence to Standards: Software development,2015,Startup
Antigua and Barbuda,Technologies,Cybersecurity Coordinating Organizations,Command and control center,Cybersecurity Coordinating Organizations: Command and control center,2015,Startup
Argentina,Technologies,Cybersecurity Coordinating Organizations,Command and control center,Cybersecurity Coordinating Organizations: Command and control center,2015,Stategic
Bahamas,Technologies,Cybersecurity Coordinating Organizations,Command and control center,Cybersecurity Coordinating Organizations: Command and control center,2015,Startup
Barbados,Technologies,Cybersecurity Coordinating Organizations,Command and control center,Cybersecurity Coordinating Organizations: Command and control center,2015,Startup
Belize,Technologies,Cybersecurity Coordinating Organizations,Command and control center,Cybersecurity Coordinating Organizations: Command and control center,2015,Startup
Bolivia,Technologies,Cybersecurity Coordinating Organizations,Command and control center,Cybersecurity Coordinating Organizations: Command and control center,2015,Formative
Brazil,Technologies,Cybersecurity Coordinating Organizations,Command and control center,Cybersecurity Coordinating Organizations: Command and control center,2015,Established
Chile,Technologies,Cybersecurity Coordinating Organizations,Command and control center,Cybersecurity Coordinating Organizations: Command and control center,2015,Formative
Colombia,Technologies,Cybersecurity Coordinating Organizations,Command and control center,Cybersecurity Coordinating Organizations: Command and control center,2015,Established
Costa Rica,Technologies,Cybersecurity Coordinating Organizations,Command and control center,Cybersecurity Coordinating Organizations: Command and control center,2015,Formative
Dominica,Technologies,Cybersecurity Coordinating Organizations,Command and control center,Cybersecurity Coordinating Organizations: Command and control center,2015,Startup
Ecuador,Technologies,Cybersecurity Coordinating Organizations,Command and control center,Cybersecurity Coordinating Organizations: Command and control center,2015,Formative
El Salvador,Technologies,Cybersecurity Coordinating Organizations,Command and control center,Cybersecurity Coordinating Organizations: Command and control center,2015,Startup
Grenada,Technologies,Cybersecurity Coordinating Organizations,Command and control center,Cybersecurity Coordinating Organizations: Command and control center,2015,Startup
Guatemala,Technologies,Cybersecurity Coordinating Organizations,Command and control center,Cybersecurity Coordinating Organizations: Command and control center,2015,Startup
Guyana,Technologies,Cybersecurity Coordinating Organizations,Command and control center,Cybersecurity Coordinating Organizations: Command and control center,2015,Startup
Haiti,Technologies,Cybersecurity Coordinating Organizations,Command and control center,Cybersecurity Coordinating Organizations: Command and control center,2015,Startup
Honduras,Technologies,Cybersecurity Coordinating Organizations,Command and control center,Cybersecurity Coordinating Organizations: Command and control center,2015,Startup
Jamaica,Technologies,Cybersecurity Coordinating Organizations,Command and control center,Cybersecurity Coordinating Organizations: Command and control center,2015,Startup
Mexico,Technologies,Cybersecurity Coordinating Organizations,Command and control center,Cybersecurity Coordinating Organizations: Command and control center,2015,Established
Nicaragua,Technologies,Cybersecurity Coordinating Organizations,Command and control center,Cybersecurity Coordinating Organizations: Command and control center,2015,Startup
Panama,Technologies,Cybersecurity Coordinating Organizations,Command and control center,Cybersecurity Coordinating Organizations: Command and control center,2015,Startup
Paraguay,Technologies,Cybersecurity Coordinating Organizations,Command and control center,Cybersecurity Coordinating Organizations: Command and control center,2015,Startup
Peru,Technologies,Cybersecurity Coordinating Organizations,Command and control center,Cybersecurity Coordinating Organizations: Command and control center,2015,Startup
Dominican Republic,Technologies,Cybersecurity Coordinating Organizations,Command and control center,Cybersecurity Coordinating Organizations: Command and control center,2015,Formative
Saint Kitts and Nevis,Technologies,Cybersecurity Coordinating Organizations,Command and control center,Cybersecurity Coordinating Organizations: Command and control center,2015,Startup
Saint Vincent and the Grenadines,Technologies,Cybersecurity Coordinating Organizations,Command and control center,Cybersecurity Coordinating Organizations: Command and control center,2015,Startup
Saint Lucia,Technologies,Cybersecurity Coordinating Organizations,Command and control center,Cybersecurity Coordinating Organizations: Command and control center,2015,Startup
Nicaragua,Technologies,Incident Response,Organization,Incident Response: Organization,2015,Startup
Suriname,Technologies,Cybersecurity Coordinating Organizations,Command and control center,Cybersecurity Coordinating Organizations: Command and control center,2015,Startup
Jamaica,Technologies,Incident Response,Identification and designation,Incident Response: Identification and designation,2015,Formative
Trinidad and Tobago,Technologies,Cybersecurity Coordinating Organizations,Command and control center,Cybersecurity Coordinating Organizations: Command and control center,2015,Formative
Uruguay,Technologies,Cybersecurity Coordinating Organizations,Command and control center,Cybersecurity Coordinating Organizations: Command and control center,2015,Established
Venezuela,Technologies,Cybersecurity Coordinating Organizations,Command and control center,Cybersecurity Coordinating Organizations: Command and control center,2015,Formative
Antigua and Barbuda,Technologies,Cybersecurity Coordinating Organizations,Incident response capacity,Cybersecurity Coordinating Organizations: Incident response capacity,2015,Startup
Argentina,Technologies,Cybersecurity Coordinating Organizations,Incident response capacity,Cybersecurity Coordinating Organizations: Incident response capacity,2015,Formative
Bahamas,Technologies,Cybersecurity Coordinating Organizations,Incident response capacity,Cybersecurity Coordinating Organizations: Incident response capacity,2015,Startup
Barbados,Technologies,Cybersecurity Coordinating Organizations,Incident response capacity,Cybersecurity Coordinating Organizations: Incident response capacity,2015,Startup
Belize,Technologies,Cybersecurity Coordinating Organizations,Incident response capacity,Cybersecurity Coordinating Organizations: Incident response capacity,2015,Startup
Bolivia,Technologies,Cybersecurity Coordinating Organizations,Incident response capacity,Cybersecurity Coordinating Organizations: Incident response capacity,2015,Formative
Brazil,Technologies,Cybersecurity Coordinating Organizations,Incident response capacity,Cybersecurity Coordinating Organizations: Incident response capacity,2015,Stategic
Chile,Technologies,Cybersecurity Coordinating Organizations,Incident response capacity,Cybersecurity Coordinating Organizations: Incident response capacity,2015,Formative
Colombia,Technologies,Cybersecurity Coordinating Organizations,Incident response capacity,Cybersecurity Coordinating Organizations: Incident response capacity,2015,Formative
Costa Rica,Technologies,Cybersecurity Coordinating Organizations,Incident response capacity,Cybersecurity Coordinating Organizations: Incident response capacity,2015,Formative
Dominica,Technologies,Cybersecurity Coordinating Organizations,Incident response capacity,Cybersecurity Coordinating Organizations: Incident response capacity,2015,Startup
Ecuador,Technologies,Cybersecurity Coordinating Organizations,Incident response capacity,Cybersecurity Coordinating Organizations: Incident response capacity,2015,Formative
El Salvador,Technologies,Cybersecurity Coordinating Organizations,Incident response capacity,Cybersecurity Coordinating Organizations: Incident response capacity,2015,Formative
Mexico,Technologies,Incident Response,Identification and designation,Incident Response: Identification and designation,2015,Stategic
Grenada,Technologies,Cybersecurity Coordinating Organizations,Incident response capacity,Cybersecurity Coordinating Organizations: Incident response capacity,2015,Startup
Guatemala,Technologies,Cybersecurity Coordinating Organizations,Incident response capacity,Cybersecurity Coordinating Organizations: Incident response capacity,2015,Startup
Guyana,Technologies,Cybersecurity Coordinating Organizations,Incident response capacity,Cybersecurity Coordinating Organizations: Incident response capacity,2015,Formative
Haiti,Technologies,Cybersecurity Coordinating Organizations,Incident response capacity,Cybersecurity Coordinating Organizations: Incident response capacity,2015,Startup
Honduras,Technologies,Cybersecurity Coordinating Organizations,Incident response capacity,Cybersecurity Coordinating Organizations: Incident response capacity,2015,Startup
Jamaica,Technologies,Cybersecurity Coordinating Organizations,Incident response capacity,Cybersecurity Coordinating Organizations: Incident response capacity,2015,Startup
Mexico,Technologies,Cybersecurity Coordinating Organizations,Incident response capacity,Cybersecurity Coordinating Organizations: Incident response capacity,2015,Established
Nicaragua,Technologies,Cybersecurity Coordinating Organizations,Incident response capacity,Cybersecurity Coordinating Organizations: Incident response capacity,2015,Startup
Panama,Technologies,Cybersecurity Coordinating Organizations,Incident response capacity,Cybersecurity Coordinating Organizations: Incident response capacity,2015,Formative
Paraguay,Technologies,Cybersecurity Coordinating Organizations,Incident response capacity,Cybersecurity Coordinating Organizations: Incident response capacity,2015,Formative
Peru,Technologies,Cybersecurity Coordinating Organizations,Incident response capacity,Cybersecurity Coordinating Organizations: Incident response capacity,2015,Formative
Dominican Republic,Technologies,Cybersecurity Coordinating Organizations,Incident response capacity,Cybersecurity Coordinating Organizations: Incident response capacity,2015,Startup
Saint Kitts and Nevis,Technologies,Cybersecurity Coordinating Organizations,Incident response capacity,Cybersecurity Coordinating Organizations: Incident response capacity,2015,Startup
Saint Vincent and the Grenadines,Technologies,Cybersecurity Coordinating Organizations,Incident response capacity,Cybersecurity Coordinating Organizations: Incident response capacity,2015,Startup
Saint Lucia,Technologies,Cybersecurity Coordinating Organizations,Incident response capacity,Cybersecurity Coordinating Organizations: Incident response capacity,2015,Startup
Suriname,Technologies,Cybersecurity Coordinating Organizations,Incident response capacity,Cybersecurity Coordinating Organizations: Incident response capacity,2015,Startup
Nicaragua,Technologies,Incident Response,Identification and designation,Incident Response: Identification and designation,2015,Startup
Trinidad and Tobago,Technologies,Cybersecurity Coordinating Organizations,Incident response capacity,Cybersecurity Coordinating Organizations: Incident response capacity,2015,Formative
Uruguay,Technologies,Cybersecurity Coordinating Organizations,Incident response capacity,Cybersecurity Coordinating Organizations: Incident response capacity,2015,Dynamic
Venezuela,Technologies,Cybersecurity Coordinating Organizations,Incident response capacity,Cybersecurity Coordinating Organizations: Incident response capacity,2015,Established
Antigua and Barbuda,Technologies,Incident Response,Identification and designation,Incident Response: Identification and designation,2015,Startup
Argentina,Technologies,Incident Response,Identification and designation,Incident Response: Identification and designation,2015,Stategic
